time,G(i),H_sun,T2m
2023-01-01 00:00:00,0.0,0.0,0.83
2023-01-01 01:00:00,0.0,0.0,0.49
2023-01-01 02:00:00,0.0,0.0,0.32
2023-01-01 03:00:00,0.0,0.0,0.21
2023-01-01 04:00:00,0.0,0.0,0.15
2023-01-01 05:00:00,0.0,0.0,0.08
2023-01-01 06:00:00,0.0,0.0,-0.02
2023-01-01 07:00:00,0.0,0.0,-0.6
2023-01-01 08:00:00,0.0,0.0,-0.44
2023-01-01 09:00:00,13.0,3.77,-0.36
2023-01-01 10:00:00,17.0,7.06,0.07
2023-01-01 11:00:00,31.0,8.57,0.2
2023-01-01 12:00:00,19.0,8.18,-0.11
2023-01-01 13:00:00,13.0,5.92,-0.43
2023-01-01 14:00:00,1.0,1.96,-0.57
2023-01-01 15:00:00,0.0,0.0,-0.57
2023-01-01 16:00:00,0.0,0.0,-0.46
2023-01-01 17:00:00,0.0,0.0,-0.34
2023-01-01 18:00:00,0.0,0.0,-0.36
2023-01-01 19:00:00,0.0,0.0,-0.25
2023-01-01 20:00:00,0.0,0.0,-0.73
2023-01-01 21:00:00,0.0,0.0,-0.92
2023-01-01 22:00:00,0.0,0.0,-0.92
2023-01-01 23:00:00,0.0,0.0,-0.93
2023-01-02 00:00:00,0.0,0.0,-0.97
2023-01-02 01:00:00,0.0,0.0,-1.04
2023-01-02 02:00:00,0.0,0.0,-0.93
2023-01-02 03:00:00,0.0,0.0,-0.85
2023-01-02 04:00:00,0.0,0.0,-0.8
2023-01-02 05:00:00,0.0,0.0,-0.79
2023-01-02 06:00:00,0.0,0.0,-0.8
2023-01-02 07:00:00,0.0,0.0,-0.79
2023-01-02 08:00:00,0.0,0.0,-0.84
2023-01-02 09:00:00,37.37,3.82,-0.77
2023-01-02 10:00:00,28.0,7.13,-0.57
2023-01-02 11:00:00,76.0,8.65,-0.46
2023-01-02 12:00:00,79.0,8.27,-0.31
2023-01-02 13:00:00,32.0,6.02,-0.27
2023-01-02 14:00:00,1.0,2.08,-0.29
2023-01-02 15:00:00,0.0,0.0,-0.29
2023-01-02 16:00:00,0.0,0.0,-0.37
2023-01-02 17:00:00,0.0,0.0,-0.38
2023-01-02 18:00:00,0.0,0.0,-0.53
2023-01-02 19:00:00,0.0,0.0,-0.25
2023-01-02 20:00:00,0.0,0.0,-0.24
2023-01-02 21:00:00,0.0,0.0,-0.43
2023-01-02 22:00:00,0.0,0.0,-0.44
2023-01-02 23:00:00,0.0,0.0,-0.27
2023-01-03 00:00:00,0.0,0.0,-0.19
2023-01-03 01:00:00,0.0,0.0,-0.39
2023-01-03 02:00:00,0.0,0.0,-0.47
2023-01-03 03:00:00,0.0,0.0,-0.69
2023-01-03 04:00:00,0.0,0.0,-0.12
2023-01-03 05:00:00,0.0,0.0,-0.15
2023-01-03 06:00:00,0.0,0.0,-0.13
2023-01-03 07:00:00,0.0,0.0,0.14
2023-01-03 08:00:00,0.0,0.0,0.41
2023-01-03 09:00:00,13.0,3.88,0.52
2023-01-03 10:00:00,28.0,7.2,0.66
2023-01-03 11:00:00,46.0,8.74,1.76
2023-01-03 12:00:00,49.0,8.37,2.16
2023-01-03 13:00:00,30.0,6.14,1.16
2023-01-03 14:00:00,2.0,2.2,0.82
2023-01-03 15:00:00,0.0,0.0,0.85
2023-01-03 16:00:00,0.0,0.0,0.92
2023-01-03 17:00:00,0.0,0.0,1.31
2023-01-03 18:00:00,0.0,0.0,1.28
2023-01-03 19:00:00,0.0,0.0,1.81
2023-01-03 20:00:00,0.0,0.0,2.33
2023-01-03 21:00:00,0.0,0.0,2.54
2023-01-03 22:00:00,0.0,0.0,3.01
2023-01-03 23:00:00,0.0,0.0,3.49
2023-01-04 00:00:00,0.0,0.0,2.75
2023-01-04 01:00:00,0.0,0.0,2.19
2023-01-04 02:00:00,0.0,0.0,2.0
2023-01-04 03:00:00,0.0,0.0,2.3
2023-01-04 04:00:00,0.0,0.0,3.16
2023-01-04 05:00:00,0.0,0.0,3.85
2023-01-04 06:00:00,0.0,0.0,4.4
2023-01-04 07:00:00,0.0,0.0,3.97
2023-01-04 08:00:00,0.0,0.0,3.94
2023-01-04 09:00:00,14.0,3.95,3.49
2023-01-04 10:00:00,13.0,7.28,3.47
2023-01-04 11:00:00,21.0,8.83,3.29
2023-01-04 12:00:00,10.0,8.48,2.7
2023-01-04 13:00:00,40.0,6.26,1.55
2023-01-04 14:00:00,2.0,2.33,0.54
2023-01-04 15:00:00,0.0,0.0,-0.04
2023-01-04 16:00:00,0.0,0.0,-0.46
2023-01-04 17:00:00,0.0,0.0,-1.08
2023-01-04 18:00:00,0.0,0.0,-1.5
2023-01-04 19:00:00,0.0,0.0,-0.89
2023-01-04 20:00:00,0.0,0.0,-1.37
2023-01-04 21:00:00,0.0,0.0,-1.71
2023-01-04 22:00:00,0.0,0.0,-1.89
2023-01-04 23:00:00,0.0,0.0,-1.92
2023-01-05 00:00:00,0.0,0.0,-1.89
2023-01-05 01:00:00,0.0,0.0,-1.85
2023-01-05 02:00:00,0.0,0.0,-1.77
2023-01-05 03:00:00,0.0,0.0,-1.67
2023-01-05 04:00:00,0.0,0.0,-1.7
2023-01-05 05:00:00,0.0,0.0,-1.73
2023-01-05 06:00:00,0.0,0.0,-1.78
2023-01-05 07:00:00,0.0,0.0,-1.85
2023-01-05 08:00:00,0.0,0.0,-1.97
2023-01-05 09:00:00,15.0,4.02,-2.01
2023-01-05 10:00:00,31.0,7.37,-1.72
2023-01-05 11:00:00,44.0,8.94,-1.43
2023-01-05 12:00:00,50.0,8.6,-1.33
2023-01-05 13:00:00,21.0,6.39,-1.28
2023-01-05 14:00:00,11.0,2.47,-1.28
2023-01-05 15:00:00,0.0,0.0,-1.25
2023-01-05 16:00:00,0.0,0.0,-0.98
2023-01-05 17:00:00,0.0,0.0,-0.6
2023-01-05 18:00:00,0.0,0.0,-0.37
2023-01-05 19:00:00,0.0,0.0,-0.36
2023-01-05 20:00:00,0.0,0.0,-0.07
2023-01-05 21:00:00,0.0,0.0,0.36
2023-01-05 22:00:00,0.0,0.0,0.87
2023-01-05 23:00:00,0.0,0.0,1.29
2023-01-06 00:00:00,0.0,0.0,1.57
2023-01-06 01:00:00,0.0,0.0,1.81
2023-01-06 02:00:00,0.0,0.0,1.99
2023-01-06 03:00:00,0.0,0.0,2.1
2023-01-06 04:00:00,0.0,0.0,2.02
2023-01-06 05:00:00,0.0,0.0,1.6
2023-01-06 06:00:00,0.0,0.0,1.48
2023-01-06 07:00:00,0.0,0.0,1.57
2023-01-06 08:00:00,0.0,0.0,1.88
2023-01-06 09:00:00,7.0,4.1,2.28
2023-01-06 10:00:00,35.0,7.47,3.26
2023-01-06 11:00:00,44.0,9.05,3.47
2023-01-06 12:00:00,70.0,8.73,2.59
2023-01-06 13:00:00,43.0,6.52,1.93
2023-01-06 14:00:00,2.0,2.61,1.5
2023-01-06 15:00:00,0.0,0.0,0.78
2023-01-06 16:00:00,0.0,0.0,0.4
2023-01-06 17:00:00,0.0,0.0,0.19
2023-01-06 18:00:00,0.0,0.0,0.0
2023-01-06 19:00:00,0.0,0.0,0.23
2023-01-06 20:00:00,0.0,0.0,-0.13
2023-01-06 21:00:00,0.0,0.0,-0.4
2023-01-06 22:00:00,0.0,0.0,-0.75
2023-01-06 23:00:00,0.0,0.0,-0.88
2023-01-07 00:00:00,0.0,0.0,-0.86
2023-01-07 01:00:00,0.0,0.0,-0.23
2023-01-07 02:00:00,0.0,0.0,1.88
2023-01-07 03:00:00,0.0,0.0,0.25
2023-01-07 04:00:00,0.0,0.0,0.62
2023-01-07 05:00:00,0.0,0.0,3.14
2023-01-07 06:00:00,0.0,0.0,2.55
2023-01-07 07:00:00,0.0,0.0,1.97
2023-01-07 08:00:00,0.0,0.0,2.74
2023-01-07 09:00:00,5.0,4.19,3.28
2023-01-07 10:00:00,21.0,7.57,3.93
2023-01-07 11:00:00,14.0,9.17,4.49
2023-01-07 12:00:00,14.0,8.86,4.78
2023-01-07 13:00:00,7.0,6.66,5.22
2023-01-07 14:00:00,2.0,2.76,5.96
2023-01-07 15:00:00,0.0,0.0,6.6
2023-01-07 16:00:00,0.0,0.0,7.13
2023-01-07 17:00:00,0.0,0.0,6.88
