time,G(i),H_sun,T2m,Su_f,Consumption,Price kWh,Charger_cons,EV_SoC,Total_cons,T_cell,Supply,Delta cons-sup
2023-01-01 00:00:00,0.0,0.0,0.83,0.0,316.8,0.08536,0.0,0.0,316.8,0.83,0.0,316.8
2023-01-01 01:00:00,0.0,0.0,0.49,0.0,316.8,0.0783199999999999,0.0,0.0,316.8,0.49,0.0,316.8
2023-01-01 02:00:00,0.0,0.0,0.32,0.0,466.4,0.07415,0.0,0.0,466.4,0.32,0.0,466.4
2023-01-01 03:00:00,0.0,0.0,0.21,0.0,574.3,0.06789,6600.0,5940.0,7174.3,0.21,0.0,574.3
2023-01-01 04:00:00,0.0,0.0,0.15,0.0,1984.9,0.06192,3784.0000000000023,9345.600000000002,5768.900000000002,0.15,0.0,1984.9
2023-01-01 05:00:00,0.0,0.0,0.08,0.0,2926.4,0.06148,0.0,0.0,2926.4,0.08,0.0,2926.4
2023-01-01 06:00:00,0.0,0.0,-0.02,0.0,2381.7,0.0616499999999999,0.0,0.0,2381.7,-0.02,0.0,2381.7
2023-01-01 07:00:00,0.0,0.0,-0.6,0.0,2080.4,0.0557,0.0,0.0,2080.4,-0.6,0.0,2080.4
2023-01-01 08:00:00,0.0,0.0,-0.44,0.0,1753.8,0.06611,0.0,0.0,1753.8,-0.44,0.0,1753.8
2023-01-01 09:00:00,13.0,3.77,-0.36,0.7350506156465653,2082.0,0.07587,0.0,0.0,2082.0,0.04625000000000001,61.93339199852719,2020.0666080014728
2023-01-01 10:00:00,17.0,7.06,0.07,0.8481711874496332,1952.0,0.08527,0.0,0.0,1952.0,0.6012500000000001,93.6842158582435,1858.3157841417565
2023-01-01 11:00:00,31.0,8.57,0.2,0.9026454759788796,2725.5,0.09272,0.0,0.0,2725.5,1.16875,182.26529766300223,2543.2347023369975
2023-01-01 12:00:00,19.0,8.18,-0.11,0.8947611484940541,3390.9,0.0958799999999999,0.0,0.0,3390.9,0.48375,110.39984303668349,3280.5001569633164
2023-01-01 13:00:00,13.0,5.92,-0.43,0.8250555088837807,2378.1,0.09837,0.0,0.0,2378.1,-0.023749999999999993,69.49533967478467,2308.6046603252153
2023-01-01 14:00:00,1.0,1.96,-0.57,0.6982788812934833,1747.0,0.09752,0.0,0.0,1747.0,-0.53875,4.514012655659622,1742.4859873443404
2023-01-01 15:00:00,0.0,0.0,-0.57,0.0,1016.7,0.09865,0.0,0.0,1016.7,-0.57,0.0,1016.7
2023-01-01 16:00:00,0.0,0.0,-0.46,0.0,1795.3,0.10088,0.0,0.0,1795.3,-0.46,0.0,1795.3
2023-01-01 17:00:00,0.0,0.0,-0.34,0.0,2275.0,0.10137,0.0,0.0,2275.0,-0.34,0.0,2275.0
2023-01-01 18:00:00,0.0,0.0,-0.36,0.0,5194.6,0.10069,0.0,0.0,5194.6,-0.36,0.0,5194.6
2023-01-01 19:00:00,0.0,0.0,-0.25,0.0,4487.3,0.09944,0.0,0.0,4487.3,-0.25,0.0,4487.3
2023-01-01 20:00:00,0.0,0.0,-0.73,0.0,3269.2,0.0963499999999999,0.0,0.0,3269.2,-0.73,0.0,3269.2
2023-01-01 21:00:00,0.0,0.0,-0.92,0.0,2433.1,0.0949899999999999,0.0,0.0,2433.1,-0.92,0.0,2433.1
2023-01-01 22:00:00,0.0,0.0,-0.92,0.0,1099.9,0.09314,0.0,0.0,1099.9,-0.92,0.0,1099.9
2023-01-01 23:00:00,0.0,0.0,-0.93,0.0,818.4,0.0922,0.0,0.0,818.4,-0.93,0.0,818.4
2023-01-02 00:00:00,0.0,0.0,-0.97,0.0,471.7,0.10022,0.0,0.0,471.7,-0.97,0.0,471.7
2023-01-02 01:00:00,0.0,0.0,-1.04,0.0,333.4,0.09994,0.0,0.0,333.4,-1.04,0.0,333.4
2023-01-02 02:00:00,0.0,0.0,-0.93,0.0,140.6,0.09924,6600.0,5940.0,6740.6,-0.93,0.0,140.6
2023-01-02 03:00:00,0.0,0.0,-0.85,0.0,471.1,0.09809,3784.0000000000023,9345.600000000002,4255.100000000002,-0.85,0.0,471.1
2023-01-02 04:00:00,0.0,0.0,-0.8,0.0,929.3,0.10036,0.0,0.0,929.3,-0.8,0.0,929.3
2023-01-02 05:00:00,0.0,0.0,-0.79,0.0,1632.3,0.09915,0.0,0.0,1632.3,-0.79,0.0,1632.3
2023-01-02 06:00:00,0.0,0.0,-0.8,0.0,1505.7,0.10898,0.0,0.0,1505.7,-0.8,0.0,1505.7
2023-01-02 07:00:00,0.0,0.0,-0.79,0.0,1665.0,0.1245,0.0,0.0,1665.0,-0.79,0.0,1665.0
2023-01-02 08:00:00,0.0,0.0,-0.84,0.0,1342.6,0.13046,0.0,0.0,1342.6,-0.84,0.0,1342.6
2023-01-02 09:00:00,37.37,3.82,-0.77,0.7365537939600405,1394.7,0.13375,0.0,0.0,1394.7,0.3978124999999999,178.6774531163241,1216.022546883676
2023-01-02 10:00:00,28.0,7.13,-0.57,0.8493196415254053,1258.1,0.13449,0.0,0.0,1258.1,0.30500000000000005,154.30944762284196,1103.7905523771578
2023-01-02 11:00:00,76.0,8.65,-0.46,0.9033635106056344,1560.8,0.1344,0.0,0.0,1560.8,1.915,448.67495683266884,1112.1250431673311
2023-01-02 12:00:00,79.0,8.27,-0.31,0.8950024008346262,2606.6,0.13829,0.0,0.0,2606.6,2.15875,462.5655120871724,2144.0344879128274
2023-01-02 13:00:00,32.0,6.02,-0.27,0.8248061080258884,2312.8,0.14022,0.0,0.0,2312.8,0.73,171.58669771593256,2141.2133022840676
2023-01-02 14:00:00,1.0,2.08,-0.29,0.6975583935294771,1841.3,0.14672,0.0,0.0,1841.3,-0.25875,4.514980184922431,1836.7850198150775
2023-01-02 15:00:00,0.0,0.0,-0.29,0.0,1320.0,0.15022,0.0,0.0,1320.0,-0.29,0.0,1320.0
2023-01-02 16:00:00,0.0,0.0,-0.37,0.0,1572.0,0.15449,0.0,0.0,1572.0,-0.37,0.0,1572.0
2023-01-02 17:00:00,0.0,0.0,-0.38,0.0,2771.6,0.16029,0.0,0.0,2771.6,-0.38,0.0,2771.6
2023-01-02 18:00:00,0.0,0.0,-0.53,0.0,2879.8,0.1641699999999999,0.0,0.0,2879.8,-0.53,0.0,2879.8
2023-01-02 19:00:00,0.0,0.0,-0.25,0.0,3204.6,0.15493,0.0,0.0,3204.6,-0.25,0.0,3204.6
2023-01-02 20:00:00,0.0,0.0,-0.24,0.0,2446.7,0.14488,0.0,0.0,2446.7,-0.24,0.0,2446.7
2023-01-02 21:00:00,0.0,0.0,-0.43,0.0,1200.5,0.13465,0.0,0.0,1200.5,-0.43,0.0,1200.5
2023-01-02 22:00:00,0.0,0.0,-0.44,0.0,819.5,0.12924,0.0,0.0,819.5,-0.44,0.0,819.5
2023-01-02 23:00:00,0.0,0.0,-0.27,0.0,840.5,0.1207999999999999,0.0,0.0,840.5,-0.27,0.0,840.5
2023-01-03 00:00:00,0.0,0.0,-0.19,0.0,524.6,0.11366,0.0,0.0,524.6,-0.19,0.0,524.6
2023-01-03 01:00:00,0.0,0.0,-0.39,0.0,334.5,0.10575,0.0,0.0,334.5,-0.39,0.0,334.5
2023-01-03 02:00:00,0.0,0.0,-0.47,0.0,356.3,0.10434,6600.0,5940.0,6956.3,-0.47,0.0,356.3
2023-01-03 03:00:00,0.0,0.0,-0.69,0.0,518.1,0.10154,3784.0000000000023,9345.600000000002,4302.100000000002,-0.69,0.0,518.1
2023-01-03 04:00:00,0.0,0.0,-0.12,0.0,1573.9,0.10076,0.0,0.0,1573.9,-0.12,0.0,1573.9
2023-01-03 05:00:00,0.0,0.0,-0.15,0.0,2778.8,0.10859,0.0,0.0,2778.8,-0.15,0.0,2778.8
2023-01-03 06:00:00,0.0,0.0,-0.13,0.0,2318.5,0.11951,0.0,0.0,2318.5,-0.13,0.0,2318.5
2023-01-03 07:00:00,0.0,0.0,0.14,0.0,1565.6,0.13297,0.0,0.0,1565.6,0.14,0.0,1565.6
2023-01-03 08:00:00,0.0,0.0,0.41,0.0,1767.2,0.14146,0.0,0.0,1767.2,0.41,0.0,1767.2
2023-01-03 09:00:00,13.0,3.88,0.52,0.738085135745085,1931.0,0.14381,0.0,0.0,1931.0,0.92625,62.432250903220734,1868.5677490967792
2023-01-03 10:00:00,28.0,7.2,0.66,0.8505048600309809,2039.6,0.14528,0.0,0.0,2039.6,1.5350000000000001,155.36837713188416,1884.2316228681157
2023-01-03 11:00:00,46.0,8.74,1.76,0.90412464274683,2941.0,0.14787,0.0,0.0,2941.0,3.1975,273.3313888946335,2667.6686111053664
2023-01-03 12:00:00,49.0,8.37,2.16,0.8952903843114282,2645.0,0.14406,0.0,0.0,2645.0,3.69125,288.93625280515823,2356.0637471948417
2023-01-03 13:00:00,30.0,6.14,1.16,0.8246041248378452,2140.2,0.14161,0.0,0.0,2140.2,2.0975,161.79742244767323,1978.4025775523266
2023-01-03 14:00:00,2.0,2.2,0.82,0.6968830160946391,1607.5,0.14333,0.0,0.0,1607.5,0.8825,9.067027846060645,1598.4329721539393
2023-01-03 15:00:00,0.0,0.0,0.85,0.0,1862.6,0.1480699999999999,0.0,0.0,1862.6,0.85,0.0,1862.6
2023-01-03 16:00:00,0.0,0.0,0.92,0.0,1836.2,0.14728,0.0,0.0,1836.2,0.92,0.0,1836.2
2023-01-03 17:00:00,0.0,0.0,1.31,0.0,3985.6,0.14981,0.0,0.0,3985.6,1.31,0.0,3985.6
2023-01-03 18:00:00,0.0,0.0,1.28,0.0,5411.2,0.14894,0.0,0.0,5411.2,1.28,0.0,5411.2
2023-01-03 19:00:00,0.0,0.0,1.81,0.0,3012.3,0.14296,0.0,0.0,3012.3,1.81,0.0,3012.3
2023-01-03 20:00:00,0.0,0.0,2.33,0.0,2959.0,0.13557,0.0,0.0,2959.0,2.33,0.0,2959.0
2023-01-03 21:00:00,0.0,0.0,2.54,0.0,2151.0,0.12304,0.0,0.0,2151.0,2.54,0.0,2151.0
2023-01-03 22:00:00,0.0,0.0,3.01,0.0,1710.9,0.11322,0.0,0.0,1710.9,3.01,0.0,1710.9
2023-01-03 23:00:00,0.0,0.0,3.49,0.0,997.2,0.09461,0.0,0.0,997.2,3.49,0.0,997.2
2023-01-04 00:00:00,0.0,0.0,2.75,0.0,406.9,0.08587,0.0,0.0,406.9,2.75,0.0,406.9
2023-01-04 01:00:00,0.0,0.0,2.19,0.0,500.3,0.07953,0.0,0.0,500.3,2.19,0.0,500.3
2023-01-04 02:00:00,0.0,0.0,2.0,0.0,473.3,0.06751,6600.0,5940.0,7073.3,2.0,0.0,473.3
2023-01-04 03:00:00,0.0,0.0,2.3,0.0,336.7,0.0669,3784.0000000000023,9345.600000000002,4120.700000000003,2.3,0.0,336.7
2023-01-04 04:00:00,0.0,0.0,3.16,0.0,1041.6,0.0691,0.0,0.0,1041.6,3.16,0.0,1041.6
2023-01-04 05:00:00,0.0,0.0,3.85,0.0,2009.7,0.07633,0.0,0.0,2009.7,3.85,0.0,2009.7
2023-01-04 06:00:00,0.0,0.0,4.4,0.0,2535.1,0.08025,0.0,0.0,2535.1,4.4,0.0,2535.1
2023-01-04 07:00:00,0.0,0.0,3.97,0.0,1443.1,0.09325,0.0,0.0,1443.1,3.97,0.0,1443.1
2023-01-04 08:00:00,0.0,0.0,3.94,0.0,1340.2,0.10013,0.0,0.0,1340.2,3.94,0.0,1340.2
2023-01-04 09:00:00,14.0,3.95,3.49,0.7396433683853224,1269.2,0.10721,0.0,0.0,1269.2,3.9275,68.27172194950366,1200.9282780504964
2023-01-04 10:00:00,13.0,7.28,3.47,0.8517258381830912,2800.5,0.10782,0.0,0.0,2800.5,3.87625,72.98546706227191,2727.5145329377283
2023-01-04 11:00:00,21.0,8.83,3.29,0.9049282035131004,2261.0,0.10771,0.0,0.0,2261.0,3.94625,125.30241483796178,2135.697585162038
2023-01-04 12:00:00,10.0,8.48,2.7,0.8956248110991758,2384.4,0.1056599999999999,0.0,0.0,2384.4,3.0125,58.81353184533624,2325.5864681546636
2023-01-04 13:00:00,40.0,6.26,1.55,0.8244496717597434,2101.9,0.10448,0.0,0.0,2101.9,2.8,216.3566997813537,1885.5433002186464
2023-01-04 14:00:00,2.0,2.33,0.54,0.6962532536183063,1822.1,0.10329,0.0,0.0,1822.1,0.6025,9.047604939806819,1813.052395060193
2023-01-04 15:00:00,0.0,0.0,-0.04,0.0,1404.4,0.10542,0.0,0.0,1404.4,-0.04,0.0,1404.4
2023-01-04 16:00:00,0.0,0.0,-0.46,0.0,1044.3,0.10748,0.0,0.0,1044.3,-0.46,0.0,1044.3
2023-01-04 17:00:00,0.0,0.0,-1.08,0.0,2305.5,0.10862,0.0,0.0,2305.5,-1.08,0.0,2305.5
2023-01-04 18:00:00,0.0,0.0,-1.5,0.0,5520.1,0.10521,0.0,0.0,5520.1,-1.5,0.0,5520.1
2023-01-04 19:00:00,0.0,0.0,-0.89,0.0,3992.6,0.10248,0.0,0.0,3992.6,-0.89,0.0,3992.6
2023-01-04 20:00:00,0.0,0.0,-1.37,0.0,2273.5,0.0989599999999999,0.0,0.0,2273.5,-1.37,0.0,2273.5
2023-01-04 21:00:00,0.0,0.0,-1.71,0.0,1979.4,0.09891,0.0,0.0,1979.4,-1.71,0.0,1979.4
2023-01-04 22:00:00,0.0,0.0,-1.89,0.0,1321.3,0.08857,0.0,0.0,1321.3,-1.89,0.0,1321.3
2023-01-04 23:00:00,0.0,0.0,-1.92,0.0,898.9,0.08218,0.0,0.0,898.9,-1.92,0.0,898.9
2023-01-05 00:00:00,0.0,0.0,-1.89,0.0,334.8,0.0762999999999999,0.0,0.0,334.8,-1.89,0.0,334.8
2023-01-05 01:00:00,0.0,0.0,-1.85,0.0,367.9,0.07271,0.0,0.0,367.9,-1.85,0.0,367.9
2023-01-05 02:00:00,0.0,0.0,-1.77,0.0,337.9,0.07208,6600.0,5940.0,6937.9,-1.77,0.0,337.9
2023-01-05 03:00:00,0.0,0.0,-1.67,0.0,508.7,0.06812,3784.0000000000023,9345.600000000002,4292.700000000003,-1.67,0.0,508.7
2023-01-05 04:00:00,0.0,0.0,-1.7,0.0,1085.3,0.07482,0.0,0.0,1085.3,-1.7,0.0,1085.3
2023-01-05 05:00:00,0.0,0.0,-1.73,0.0,2520.3,0.07973,0.0,0.0,2520.3,-1.73,0.0,2520.3
2023-01-05 06:00:00,0.0,0.0,-1.78,0.0,1841.5,0.09154,0.0,0.0,1841.5,-1.78,0.0,1841.5
2023-01-05 07:00:00,0.0,0.0,-1.85,0.0,1195.2,0.10328,0.0,0.0,1195.2,-1.85,0.0,1195.2
2023-01-05 08:00:00,0.0,0.0,-1.97,0.0,1570.1,0.10564,0.0,0.0,1570.1,-1.97,0.0,1570.1
2023-01-05 09:00:00,15.0,4.02,-2.01,0.7412271910852498,1582.8,0.11101,0.0,0.0,1582.8,-1.5412499999999998,71.55375908511792,1511.246240914882
2023-01-05 10:00:00,31.0,7.37,-1.72,0.8529815362133554,1710.9,0.1157,0.0,0.0,1710.9,-0.75125,170.77482263049592,1540.1251773695042
2023-01-05 11:00:00,44.0,8.94,-1.43,0.9057734845685949,1632.0,0.11875,0.0,0.0,1632.0,-0.05499999999999994,258.1910071314173,1373.8089928685827
2023-01-05 12:00:00,50.0,8.6,-1.33,0.896005352113378,1585.1,0.11642,0.0,0.0,1585.1,0.23249999999999993,290.605716676622,1294.4942833233779
2023-01-05 13:00:00,21.0,6.39,-1.28,0.8243428209319262,2431.8,0.11793,0.0,0.0,2431.8,-0.62375,111.86559268927688,2319.934407310723
2023-01-05 14:00:00,11.0,2.47,-1.28,0.6956695740963227,1202.7,0.12222,0.0,0.0,1202.7,-0.93625,49.38098886323061,1153.3190111367694
2023-01-05 15:00:00,0.0,0.0,-1.25,0.0,2072.5,0.12712,0.0,0.0,2072.5,-1.25,0.0,2072.5
2023-01-05 16:00:00,0.0,0.0,-0.98,0.0,1021.5,0.13503,0.0,0.0,1021.5,-0.98,0.0,1021.5
2023-01-05 17:00:00,0.0,0.0,-0.6,0.0,2370.7,0.14768,0.0,0.0,2370.7,-0.6,0.0,2370.7
2023-01-05 18:00:00,0.0,0.0,-0.37,0.0,3708.8,0.14758,0.0,0.0,3708.8,-0.37,0.0,3708.8
2023-01-05 19:00:00,0.0,0.0,-0.36,0.0,3462.7,0.13665,0.0,0.0,3462.7,-0.36,0.0,3462.7
2023-01-05 20:00:00,0.0,0.0,-0.07,0.0,2276.9,0.1274,0.0,0.0,2276.9,-0.07,0.0,2276.9
